Supplier ID,Supplier Name,Street ID,Supplier Address,Street Number,Country
50,Scandinavian Clothing A/S,6850100389,Kr. Augusts Gate 13,13,NO
109,Petterson AB,8500100286,Blasieholmstorg 1,1,SE
316,Prime Sports Ltd,9250103252,9 Carlisle Place,9,GB
755,Top Sports,3150108266,Jernbanegade 45,45,DK
772,AllSeasons Outdoor Clothing,9260115819,553 Cliffview Dr,553,US
798,Sportico,8300100454,C. Barquillo 1,1,ES
1280,British Sports Ltd,9250100844,85 Station Street,85,GB
1303,Eclipse Inc,9260107621,1218 Carriole Ct,1218,US
1684,Magnifico Sports,7350100062,Rua Costa Pinto 2,2,PT
1747,Pro Sportswear Inc,9260109782,2434 Edgebrook Dr,2434,US
2963,3Top Sports,9260111024,5033 Charles B Root Wynd,5033,US
2995,Van Dammeren International,6300100165,Transistorstraat 6,6,NL
3298,A Team Sports,9260125378,2687 Julie Ann Ct,2687,US
3664,Triple Sportswear Inc,9260104020,116 Irelan Dr,116,US
3808,Carolina Sports,9260124917,3860 Grand Ave,3860,US
3815,Roll-Over Inc,9260119457,150 Crestscene Trl,150,US
4168,Rubby Zapatos S.A.,8300100111,C. Casanova 1,1,ES
4514,Royal Darts Ltd,9250103387,347 City Road,347,GB
4646,Mayday Inc,9260106363,127 Bridgeford Dr,127,US
4718,KN Outdoor Trading Inc,9260100032,115 Davishire Dr,115,US
4742,Luna sastreria S.A.,8300100392,Av. De Burgos 12,12,ES
4793,Norsok A/S,3150105540,Jens Engbergs Alle 91,91,DK
5503,Ultra Sporting Goods Inc,9260115962,2214 Grand Pointe Dr,2214,US
5810,Teamsports Inc,9260105801,42 Farmlea Cir,42,US
5922,Force Sports,1900111322,Dr Vandeperreln 139,139,BE
6071,SportsFan Products Ltd,9250102901,50 Baker Street,50,GB
6153,Nautlius SportsWear Inc,9260112561,56 Bagwell Ave,56,US
6355,Svensson Trading AB,8500100026,Uddnäsvägen 29,29,SE
7511,Mike Schaeffer Inc,9260113554,588 Battle Bridge Rd,588,US
10225,HighPoint Trading,9260116271,1731 Glenwood Ave,1731,US
10692,Toto Outdoor Gear,1600102926,44 Norway St Kelburn,44,AU
11427,Typhoon Clothing,1600102664,120 Station Street,120,AU
12283,EA Sports Limited,9250103700,6 Fenchurch Place,6,GB
12869,Truls Sporting Goods,6850100249,Akersgt. 1,1,NO
13079,Le Blanc S.A.,3500100333,Impasse de la Barriere 1,1,FR
13198,Twain Inc,9260128470,1648 Bloodworth St,1648,US
13199,Massif S.A.,3500100143,Bld de la Republique 2,2,FR
13314,Triffy B.V.,6300100301,Hogehilweg 16,16,NL
13710,SD Sporting Goods Inc,9260108085,5789 Hayden Ct,5789,US
14593,Fga Sports Inc,9260115242,41 Calvary Dr,41,US
14624,Ypsilon S.A.,3500100058,Av Aristide Briand 19,19,FR
14648,Top Sports Inc,9260112666,7 Cathedral Way,7,US
14682,Greenline Sports Ltd,9250101069,55 Boughton,55,GB
15218,Miller Trading Inc,9260122051,1460 Grande Meadow Way,1460,US
15938,TeeTime Ltd,9250106697,1 Bletchingley Road,1,GB
16292,Dolphin Sportswear Inc,9260102742,617 Chippendale Rd,617,US
16422,Outback Outfitters Ltd,9250103927,41 Grange Road,41,GB
16542,TrimSport B.V.,6300100742,Crabethpark 19,19,NL
16733,Fuller Trading Co.,2600100011,15 boul Wallberg,15,CA
16814,CrystalClear Optics Inc,2600100022,4697 rue Beaubien E,4697,CA
17832,GrandSlam Sporting Goods Ltd,9250101267,651 Mitcham Road,651,GB
18139,Green Lime Sports Inc,9260100299,1064 Lancashire Dr,1064,US
